2031-01-01,元日
2031-01-13,成人の日
2031-02-11,建国記念の日
2031-02-23,天皇誕生日
2031-02-24,"天皇誕生日 振替休日"
2031-03-21,春分の日
2031-04-29,昭和の日
2031-05-03,憲法記念日
2031-05-04,みどりの日
2031-05-05,こどもの日
2031-05-06,"みどりの日 振替休日"
2031-07-21,海の日
2031-08-11,山の日
2031-09-15,敬老の日
2031-09-23,秋分の日
2031-10-13,スポーツの日
2031-11-03,文化の日
2031-11-23,勤労感謝の日
2031-11-24,"勤労感謝の日 振替休日"
